"route.name","route.number","stop.id","time","n.students","location","query","lat","lng","type"
"HS 27 AM",149,13," 7:25 am",3,"FRANKLIN RD & HARVEST DR","FRANKLIN RD & HARVEST DR, Scarsdale, NY",40.9767203,-73.7684119,"APPROXIMATE"
"HS 27 AM",149,14," 7:27 am",2,"CROSSWAY & HARVEST DR","CROSSWAY & HARVEST DR, Scarsdale, NY",40.9780602,-73.7726966,"APPROXIMATE"
"HS 27 AM",149,15," 7:28 am",4,"CROSSWAY & LINCOLN RD","CROSSWAY & LINCOLN RD, Scarsdale, NY",40.9795753,-73.7678331,"APPROXIMATE"
"HS 27 AM",149,16," 7:34 am",-50,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 28 AM",155,2," 7:01 am",1,"1170 OLD WHITE PLAINS RD","1170 OLD WHITE PLAINS RD, Scarsdale, NY",40.9691878,-73.7498751,"RANGE_INTERPOLATED"
"HS 28 AM",155,3," 7:02 am",2,"OLD WHITE PLAINS RD & WELLHOUSE CLOSE & OLD WHITE PLAINS RD","OLD WHITE PLAINS RD & WELLHOUSE CLOSE & OLD WHITE PLAINS RD, Scarsdale, NY",40.9910251,-73.794708,"GEOMETRIC_CENTER"
"HS 28 AM",155,4," 7:03 am",1,"4 CARRIAGE HOUSE LANE","4 CARRIAGE HOUSE LANE, Scarsdale, NY",40.9688274,-73.7512081,"RANGE_INTERPOLATED"
"HS 28 AM",155,5," 7:04 am",4,"CARRIAGE HOUSE LANE & WELLHOUSE LN","CARRIAGE HOUSE LANE & WELLHOUSE LN, Scarsdale, NY",40.970057,-73.753533,"APPROXIMATE"
"HS 28 AM",155,6," 7:07 am",5,"BRITTANY CLOSE & GRIFFEN AVE","BRITTANY CLOSE & GRIFFEN AVE, Scarsdale, NY",40.9698839,-73.7569244,"APPROXIMATE"
"HS 28 AM",155,7," 7:09 am",1,"103 GRIFFEN AVENUE","103 GRIFFEN AVENUE, Scarsdale, NY",40.9640879,-73.7632509,"RANGE_INTERPOLATED"
"HS 28 AM",155,8," 7:10 am",12,"BROADMOOR RD & GRIFFEN AVE","BROADMOOR RD & GRIFFEN AVE, Scarsdale, NY",40.9625626,-73.7666146,"APPROXIMATE"
"HS 28 AM",155,9," 7:13 am",6,"GRIFFEN AVE & NORMANDY LN","GRIFFEN AVE & NORMANDY LN, Scarsdale, NY",40.9615573,-73.768573,"APPROXIMATE"
"HS 28 AM",155,10," 7:14 am",3,"GRAND PK AVE & GRIFFEN AVE","GRAND PK AVE & GRIFFEN AVE, Scarsdale, NY",40.961196,-73.769164,"APPROXIMATE"
"HS 28 AM",155,11," 7:15 am",9,"CORNELL ST & FENIMORE RD & GRAND PK AVE","CORNELL ST & FENIMORE RD & GRAND PK AVE, Scarsdale, NY",40.9597268,-73.76775,"APPROXIMATE"
"HS 28 AM",155,12," 7:18 am",2,"12 CORNELL ST","12 CORNELL ST, Scarsdale, NY",40.9571341,-73.7713749,"RANGE_INTERPOLATED"
"HS 28 AM",155,13," 7:19 am",3,"COPPER BEECH LN & WEAVER ST","COPPER BEECH LN & WEAVER ST, Scarsdale, NY",40.9610884,-73.7726071,"APPROXIMATE"
"HS 28 AM",155,14," 7:20 am",0,"WEAVER ST & WHITE BIRCH LN","WEAVER ST & WHITE BIRCH LN, Scarsdale, NY",40.9623295,-73.7728263,"APPROXIMATE"
"HS 28 AM",155,15," 7:21 am",1,"WEAVER ST & HWY 125 & CO HWY 129 & WEAVER ST & HWY 125 & CO HWY 129 & HILLANDALE DR &  HILLANDDALE DR & HILLANDALE CLOSE",NA,NA,NA,NA
"HS 28 AM",155,16," 7:22 am",10,"BRADFORD RD & WEAVER ST","BRADFORD RD & WEAVER ST, Scarsdale, NY",40.9641844,-73.7731791,"APPROXIMATE"
"HS 28 AM",155,17," 7:24 am",4,"27 OLD LYME RD","27 OLD LYME RD, Scarsdale, NY",40.9663777,-73.7721969,"RANGE_INTERPOLATED"
"HS 28 AM",155,18," 7:26 am",5,"MEADOW RD & NORMANDY LN","MEADOW RD & NORMANDY LN, Scarsdale, NY",40.965778,-73.770388,"APPROXIMATE"
"HS 28 AM",155,19," 7:27 am",0,"MEADOW RD & OLD LYME RD","MEADOW RD & OLD LYME RD, Scarsdale, NY",40.9676714,-73.767312,"APPROXIMATE"
"HS 28 AM",155,20," 7:28 am",9,"4 MEADOW RD","4 MEADOW RD, Scarsdale, NY",40.9696921,-73.7681326,"RANGE_INTERPOLATED"
"HS 28 AM",155,21," 7:31 am",2,"5 HUTCHINSON AVE","5 HUTCHINSON AVE, Scarsdale, NY",40.9692758,-73.7733048,"RANGE_INTERPOLATED"
"HS 28 AM",155,22," 7:34 am",0,"11 WEAVER STREET","11 WEAVER STREET, Scarsdale, NY",40.9827868,-73.7760038,"RANGE_INTERPOLATED"
"HS 28 AM",155,23," 7:35 am",0,"35 WEAVER STREET","35 WEAVER STREET, Scarsdale, NY",40.9800508,-73.7760803,"RANGE_INTERPOLATED"
"HS 28 AM",155,24," 7:40 am",-80,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 29 AM",148,2," 7:10 am",10,"SALEM DR & SPLIT TREE RD","SALEM DR & SPLIT TREE RD, Scarsdale, NY",40.962432,-73.76242,"APPROXIMATE"
"HS 29 AM",148,3," 7:13 am",3,"KOLBERT DR & SALEM DR","KOLBERT DR & SALEM DR, Scarsdale, NY",40.96303,-73.759667,"APPROXIMATE"
"HS 29 AM",148,4," 7:14 am",3,"5 KOLBERT DR","5 KOLBERT DR, Scarsdale, NY",40.9647425,-73.760534,"ROOFTOP"
"HS 29 AM",148,5," 7:16 am",1,"133 GRIFFEN AVENUE","133 GRIFFEN AVENUE, Scarsdale, NY",40.9652335,-73.76203,"RANGE_INTERPOLATED"
"HS 29 AM",148,6," 7:17 am",1,"217 GRIFFEN AVENUE","217 GRIFFEN AVENUE, Scarsdale, NY",40.9702502,-73.7564979,"RANGE_INTERPOLATED"
"HS 29 AM",148,7," 7:18 am",1,"267 GRIFFEN AVENUE","267 GRIFFEN AVENUE, Scarsdale, NY",40.9713489,-73.7552192,"RANGE_INTERPOLATED"
"HS 29 AM",148,8," 7:20 am",6,"DORIS LN & PRINCE WILLOW LN","DORIS LN & PRINCE WILLOW LN, Scarsdale, NY",40.9712362,-73.7500555,"APPROXIMATE"
"HS 29 AM",148,9," 7:21 am",0,"MARBOURNE DR & PRINCE WILLOW LN","MARBOURNE DR & PRINCE WILLOW LN, Scarsdale, NY",40.973544,-73.747387,"APPROXIMATE"
"HS 29 AM",148,10," 7:22 am",7,"JENNY CLOSE & MARBOURNE DR","JENNY CLOSE & MARBOURNE DR, Scarsdale, NY",40.975483,-73.748348,"APPROXIMATE"
"HS 29 AM",148,11," 7:25 am",10,"BARNWALL LN & FAIRWAY DR","BARNWALL LN & FAIRWAY DR, Scarsdale, NY",40.972859,-73.750523,"APPROXIMATE"
"HS 29 AM",148,12," 7:27 am",1,"DORIS RD & FAIRWAY DR","DORIS RD & FAIRWAY DR, Scarsdale, NY",40.9720991,-73.7512175,"APPROXIMATE"
"HS 29 AM",148,13," 7:28 am",3,"OLD WHITE PLAINS RD & STONEWALL LN","OLD WHITE PLAINS RD & STONEWALL LN, Scarsdale, NY",40.9720122,-73.7534723,"APPROXIMATE"
"HS 29 AM",148,14," 7:29 am",1,"465 MAMARONECK ROAD","465 MAMARONECK ROAD, Scarsdale, NY",40.9744424,-73.7555393,"RANGE_INTERPOLATED"
"HS 29 AM",148,15," 7:30 am",5,"BARKER LN & MAMARONECK RD","BARKER LN & MAMARONECK RD, Scarsdale, NY",40.9746115,-73.7556929,"APPROXIMATE"
"HS 29 AM",148,16," 7:32 am",5,"COLONIAL RD & MAYFLOWER RD","COLONIAL RD & MAYFLOWER RD, Scarsdale, NY",40.97554,-73.760093,"APPROXIMATE"
"HS 29 AM",148,17," 7:33 am",4,"COLONIAL RD & CONTINENTAL RD","COLONIAL RD & CONTINENTAL RD, Scarsdale, NY",40.9750723,-73.7617216,"APPROXIMATE"
"HS 29 AM",148,18," 7:35 am",6,"BLACKHAWK RD & MAYFLOWER RD","BLACKHAWK RD & MAYFLOWER RD, Scarsdale, NY",40.974292,-73.758532,"APPROXIMATE"
"HS 29 AM",148,19," 7:37 am",4,"74 STRATTON RD","74 STRATTON RD, Scarsdale, NY",40.9769361,-73.7614551,"RANGE_INTERPOLATED"
"HS 29 AM",148,20," 7:39 am",10,"ARCHER LN & HARVEST DR","ARCHER LN & HARVEST DR, Scarsdale, NY",40.9777482,-73.7647338,"APPROXIMATE"
"HS 29 AM",148,21," 7:46 am",-81,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 30 AM",156,2," 7:20 am",15,"ARDMORE RD & CROSSWAY","ARDMORE RD & CROSSWAY, Scarsdale, NY",40.9786092,-73.7713407,"APPROXIMATE"
"HS 30 AM",156,3," 7:23 am",15,"CROSSWAY & HEATHCOTE RD","CROSSWAY & HEATHCOTE RD, Scarsdale, NY",40.9774,-73.7735761,"APPROXIMATE"
"HS 30 AM",156,4," 7:29 am",28,"SPRAGUE RD & WHITE RD","SPRAGUE RD & WHITE RD, Scarsdale, NY",40.9767433,-73.7936604,"APPROXIMATE"
"HS 30 AM",156,5," 7:38 am",-58,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 31 AM",142,2," 7:20 am",4,"BROOKBY RD & WHIEELOCK RD","BROOKBY RD & WHIEELOCK RD, Scarsdale, NY",40.9925262,-73.768928,"APPROXIMATE"
"HS 31 AM",142,3," 7:21 am",3,"HANOVER RD & WHEELOCK RD","HANOVER RD & WHEELOCK RD, Scarsdale, NY",40.9945184,-73.7694628,"APPROXIMATE"
"HS 31 AM",142,4," 7:23 am",1,"CATHERINE RD & WHEELOCK RD","CATHERINE RD & WHEELOCK RD, Scarsdale, NY",40.995131,-73.770044,"APPROXIMATE"
"HS 31 AM",142,5," 7:24 am",2,"CANTERBURY RD & CATHERINE RD","CANTERBURY RD & CATHERINE RD, Scarsdale, NY",40.9943716,-73.7712929,"APPROXIMATE"
"HS 31 AM",142,6," 7:25 am",6,"CANTERBURY RD & CAYUGA RD","CANTERBURY RD & CAYUGA RD, Scarsdale, NY",40.9954883,-73.7719904,"APPROXIMATE"
"HS 31 AM",142,7," 7:26 am",9,"CAYUGA RD & ONEIDA RD","CAYUGA RD & ONEIDA RD, Scarsdale, NY",40.9969891,-73.7693268,"APPROXIMATE"
"HS 31 AM",142,8," 7:28 am",2,"ONEIDA RD & SENECA RD","ONEIDA RD & SENECA RD, Scarsdale, NY",40.9978952,-73.7701086,"APPROXIMATE"
"HS 31 AM",142,9," 7:29 am",3,"LEATHERSTOCIKING LN & SENECA RD","LEATHERSTOCIKING LN & SENECA RD, Scarsdale, NY",40.9969423,-73.7727332,"APPROXIMATE"
"HS 31 AM",142,10," 7:30 am",1,"CANTERBURY RD & LEATHERSTOCIKING LN","CANTERBURY RD & LEATHERSTOCIKING LN, Scarsdale, NY",40.9957891,-73.7725113,"APPROXIMATE"
"HS 31 AM",142,11," 7:32 am",3,"MAMARONECK RD & MOHICAN TRL","MAMARONECK RD & MOHICAN TRL, Scarsdale, NY",40.9953912,-73.7763897,"APPROXIMATE"
"HS 31 AM",142,12," 7:33 am",2,"COLBY LN & SHELDRAKE RD","COLBY LN & SHELDRAKE RD, Scarsdale, NY",41.0018457,-73.7767776,"APPROXIMATE"
"HS 31 AM",142,13," 7:34 am",1,"54 SHELDRAKE ROAD","54 SHELDRAKE ROAD, Scarsdale, NY",41.0027459,-73.77501,"RANGE_INTERPOLATED"
"HS 31 AM",142,14," 7:35 am",2,"SHELDRAKE RD & WILLOW LN","SHELDRAKE RD & WILLOW LN, Scarsdale, NY",41.0036996,-73.7716869,"APPROXIMATE"
"HS 31 AM",142,15," 7:36 am",5,"CUSHMAN RD & WILLOW LN","CUSHMAN RD & WILLOW LN, Scarsdale, NY",41.0053416,-73.7722137,"APPROXIMATE"
"HS 31 AM",142,16," 7:41 am",-44,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 57 PM",144,2," 2:10 pm",95,"SENIOR HIGH SCHOOL (007)","SENIOR HIGH SCHOOL (007), Scarsdale, NY",41.000751,-73.808159,"APPROXIMATE"
"HS 57 PM",144,3," 2:33 pm",-7,"HARVEST DR & MAMARONECK RD","HARVEST DR & MAMARONECK RD, Scarsdale, NY",40.9786282,-73.7614486,"APPROXIMATE"
"HS 57 PM",144,4," 2:35 pm",-3,"MAMARONECK RD & STRATTON RD","MAMARONECK RD & STRATTON RD, Scarsdale, NY",40.9775036,-73.7594932,"APPROXIMATE"
"HS 57 PM",144,5," 2:36 pm",-12,"COLONEL RD & MAMARONECK RD","COLONEL RD & MAMARONECK RD, Scarsdale, NY",40.9891264,-73.7685321,"GEOMETRIC_CENTER"
"HS 57 PM",144,6," 2:39 pm",-3,"BARKER LN & MAMORONECK RD","BARKER LN & MAMORONECK RD, Scarsdale, NY",40.9746115,-73.7556929,"APPROXIMATE"
"HS 57 PM",144,7," 2:41 pm",-4,"GRIFFEN AVE & MAMARONECK RD & OLD WHITE PLAINS RD","GRIFFEN AVE & MAMARONECK RD & OLD WHITE PLAINS RD, Scarsdale, NY",40.972363,-73.753975,"APPROXIMATE"
"HS 57 PM",144,8," 2:42 pm",-4,"BARNWALL LN & STONEWALL LN","BARNWALL LN & STONEWALL LN, Scarsdale, NY",40.973492,-73.752015,"APPROXIMATE"
"HS 57 PM",144,9," 2:44 pm",-3,"JENNY CLOSE & MARBOURNE DR","JENNY CLOSE & MARBOURNE DR, Scarsdale, NY",40.975483,-73.748348,"APPROXIMATE"
