TAX,ASSESSED
FULL MKT VAL,1176553
COUNTY TAXABLE,17667
VILLAGE TAXABLE,17667
SCHOOL TAXABLE,19350
FULL MKT VAL,1093220
COUNTY TAXABLE,15400
VILLAGE TAXABLE,15400
SCHOOL TAXABLE,13570
FULL MKT VAL,870056
COUNTY TAXABLE,22517
VILLAGE TAXABLE,22517
SCHOOL TAXABLE,22370
FULL MKT VAL,1367231
COUNTY TAXABLE,35100
VILLAGE TAXABLE,35100
SCHOOL TAXABLE,35100
FULL MKT VAL,1983050
COUNTY TAXABLE,16700
VILLAGE TAXABLE,16700
SCHOOL TAXABLE,14870
FULL MKT VAL,943502
COUNTY TAXABLE,17250
VILLAGE TAXABLE,17250
SCHOOL TAXABLE,17250
FULL MKT VAL,974576
COUNTY TAXABLE,16000
VILLAGE TAXABLE,16000
SCHOOL TAXABLE,16000
FULL MKT VAL,903954
COUNTY TAXABLE,19400
VILLAGE TAXABLE,19400
SCHOOL TAXABLE,19400
FULL MKT VAL,1096045
COUNTY TAXABLE,14800
VILLAGE TAXABLE,14800
SCHOOL TAXABLE,15170
FULL MKT VAL,960451
COUNTY TAXABLE,14500
VILLAGE TAXABLE,14500
SCHOOL TAXABLE,12670
FULL MKT VAL,819209
COUNTY TAXABLE,13125
VILLAGE TAXABLE,13125
SCHOOL TAXABLE,13125
FULL MKT VAL,741525
COUNTY TAXABLE,20800
VILLAGE TAXABLE,20800
SCHOOL TAXABLE,20800
FULL MKT VAL,1175141
COUNTY TAXABLE,85000
VILLAGE TAXABLE,85000
SCHOOL TAXABLE,85000
FULL MKT VAL,4802259
COUNTY TAXABLE,66630
VILLAGE TAXABLE,66630
SCHOOL TAXABLE,66630
FULL MKT VAL,3764406
COUNTY TAXABLE,19400
VILLAGE TAXABLE,19400
SCHOOL TAXABLE,19400
FULL MKT VAL,1096045
COUNTY TAXABLE,23225
VILLAGE TAXABLE,23225
SCHOOL TAXABLE,23225
FULL MKT VAL,1312146
COUNTY TAXABLE,26800
VILLAGE TAXABLE,26800
SCHOOL TAXABLE,26800
FULL MKT VAL,1514124
COUNTY TAXABLE,46500
VILLAGE TAXABLE,46500
SCHOOL TAXABLE,46500
FULL MKT VAL,2627118
COUNTY TAXABLE,28500
VILLAGE TAXABLE,28500
SCHOOL TAXABLE,28500
FULL MKT VAL,1610169
COUNTY TAXABLE,18200
VILLAGE TAXABLE,18200
SCHOOL TAXABLE,18200
FULL MKT VAL,1028248
COUNTY TAXABLE,11200
VILLAGE TAXABLE,11200
SCHOOL TAXABLE,11200
FULL MKT VAL,632768
COUNTY TAXABLE,19925
VILLAGE TAXABLE,19925
SCHOOL TAXABLE,19925
FULL MKT VAL,1125706
COUNTY TAXABLE,37400
VILLAGE TAXABLE,37400
SCHOOL TAXABLE,37400
FULL MKT VAL,2112994
COUNTY TAXABLE,19800
VILLAGE TAXABLE,19800
SCHOOL TAXABLE,17970
FULL MKT VAL,1118644
COUNTY TAXABLE,11600
VILLAGE TAXABLE,11600
SCHOOL TAXABLE,11600
FULL MKT VAL,655367
COUNTY TAXABLE,18400
VILLAGE TAXABLE,18400
SCHOOL TAXABLE,18400
FULL MKT VAL,1039548
COUNTY TAXABLE,15900
VILLAGE TAXABLE,15900
SCHOOL TAXABLE,17110
FULL MKT VAL,1180790
COUNTY TAXABLE,16500
VILLAGE TAXABLE,16500
SCHOOL TAXABLE,12710
FULL MKT VAL,932203
COUNTY TAXABLE,20125
VILLAGE TAXABLE,20125
SCHOOL TAXABLE,18295
FULL MKT VAL,1137005
COUNTY TAXABLE,20300
VILLAGE TAXABLE,20300
SCHOOL TAXABLE,18470
FULL MKT VAL,1146892
COUNTY TAXABLE,22000
VILLAGE TAXABLE,22000
SCHOOL TAXABLE,22000
FULL MKT VAL,1242937
COUNTY TAXABLE,11740
VILLAGE TAXABLE,11740
SCHOOL TAXABLE,10920
FULL MKT VAL,720338
COUNTY TAXABLE,26600
VILLAGE TAXABLE,26600
SCHOOL TAXABLE,26600
FULL MKT VAL,1502824
COUNTY TAXABLE,13400
VILLAGE TAXABLE,13400
SCHOOL TAXABLE,13400
FULL MKT VAL,757062
COUNTY TAXABLE,18220
VILLAGE TAXABLE,18220
SCHOOL TAXABLE,18220
FULL MKT VAL,1029378
COUNTY TAXABLE,22450
VILLAGE TAXABLE,22450
SCHOOL TAXABLE,22450
FULL MKT VAL,1268361
COUNTY TAXABLE,19300
VILLAGE TAXABLE,19300
SCHOOL TAXABLE,19300
FULL MKT VAL,1090395
COUNTY TAXABLE,18475
VILLAGE TAXABLE,18475
SCHOOL TAXABLE,16645
FULL MKT VAL,1043785
COUNTY TAXABLE,13100
VILLAGE TAXABLE,13100
SCHOOL TAXABLE,11270
FULL MKT VAL,740112
COUNTY TAXABLE,17225
VILLAGE TAXABLE,17225
SCHOOL TAXABLE,17225
FULL MKT VAL,973163
COUNTY TAXABLE,18400
VILLAGE TAXABLE,18400
SCHOOL TAXABLE,16570
FULL MKT VAL,1039548
COUNTY TAXABLE,35000
VILLAGE TAXABLE,35000
SCHOOL TAXABLE,35000
FULL MKT VAL,1977401
COUNTY TAXABLE,36750
VILLAGE TAXABLE,36750
SCHOOL TAXABLE,36750
FULL MKT VAL,2076271
COUNTY TAXABLE,44000
VILLAGE TAXABLE,44000
SCHOOL TAXABLE,44000
FULL MKT VAL,2485875
COUNTY TAXABLE,15500
VILLAGE TAXABLE,15500
SCHOOL TAXABLE,13670
FULL MKT VAL,875706
COUNTY TAXABLE,20600
VILLAGE TAXABLE,20600
SCHOOL TAXABLE,18770
FULL MKT VAL,1163841
COUNTY TAXABLE,25475
VILLAGE TAXABLE,25475
SCHOOL TAXABLE,25475
FULL MKT VAL,1439265
COUNTY TAXABLE,32975
VILLAGE TAXABLE,32975
SCHOOL TAXABLE,32975
FULL MKT VAL,1862994
COUNTY TAXABLE,18000
VILLAGE TAXABLE,18000
SCHOOL TAXABLE,18000
FULL MKT VAL,1016949
COUNTY TAXABLE,18900
VILLAGE TAXABLE,18900
SCHOOL TAXABLE,18900
FULL MKT VAL,1067796
COUNTY TAXABLE,31300
VILLAGE TAXABLE,31300
SCHOOL TAXABLE,31300
FULL MKT VAL,1768361
COUNTY TAXABLE,11200
VILLAGE TAXABLE,11200
SCHOOL TAXABLE,11200
FULL MKT VAL,632768
COUNTY TAXABLE,11200
VILLAGE TAXABLE,11200
SCHOOL TAXABLE,11200
FULL MKT VAL,632768
COUNTY TAXABLE,11200
VILLAGE TAXABLE,11200
SCHOOL TAXABLE,11200
FULL MKT VAL,632768
COUNTY TAXABLE,11200
VILLAGE TAXABLE,11200
SCHOOL TAXABLE,11200
FULL MKT VAL,632768
COUNTY TAXABLE,11700
VILLAGE TAXABLE,11700
SCHOOL TAXABLE,11700
FULL MKT VAL,661016
COUNTY TAXABLE,5500
VILLAGE TAXABLE,5500
SCHOOL TAXABLE,5500
FULL MKT VAL,310734
COUNTY TAXABLE,5500
VILLAGE TAXABLE,5500
SCHOOL TAXABLE,5500
FULL MKT VAL,310734
COUNTY TAXABLE,14300
VILLAGE TAXABLE,14300
SCHOOL TAXABLE,14300
FULL MKT VAL,807909
COUNTY TAXABLE,11200
VILLAGE TAXABLE,11200
SCHOOL TAXABLE,11200
FULL MKT VAL,632768
COUNTY TAXABLE,68000
VILLAGE TAXABLE,68000
SCHOOL TAXABLE,68000
FULL MKT VAL,3841807
COUNTY TAXABLE,11700
VILLAGE TAXABLE,11700
SCHOOL TAXABLE,11700
FULL MKT VAL,661016
COUNTY TAXABLE,11700
VILLAGE TAXABLE,11700
SCHOOL TAXABLE,11700
FULL MKT VAL,661016
COUNTY TAXABLE,14500
VILLAGE TAXABLE,14500
SCHOOL TAXABLE,14500
FULL MKT VAL,819209
COUNTY TAXABLE,9700
VILLAGE TAXABLE,9700
SCHOOL TAXABLE,9700
FULL MKT VAL,548022
COUNTY TAXABLE,34400
VILLAGE TAXABLE,34400
SCHOOL TAXABLE,34400
FULL MKT VAL,1943502
COUNTY TAXABLE,9100
VILLAGE TAXABLE,9100
SCHOOL TAXABLE,9100
FULL MKT VAL,514124
COUNTY TAXABLE,6900
VILLAGE TAXABLE,6900
SCHOOL TAXABLE,6900
FULL MKT VAL,389830
COUNTY TAXABLE,18000
VILLAGE TAXABLE,18000
SCHOOL TAXABLE,18000
FULL MKT VAL,1016949
COUNTY TAXABLE,16750
VILLAGE TAXABLE,16750
SCHOOL TAXABLE,14920
FULL MKT VAL,946327
COUNTY TAXABLE,15600
VILLAGE TAXABLE,15600
SCHOOL TAXABLE,15600
FULL MKT VAL,881355
COUNTY TAXABLE,23650
VILLAGE TAXABLE,23650
SCHOOL TAXABLE,21820
FULL MKT VAL,1336158
COUNTY TAXABLE,30000
VILLAGE TAXABLE,30000
SCHOOL TAXABLE,30000
FULL MKT VAL,1694915
COUNTY TAXABLE,18950
VILLAGE TAXABLE,18950
FULL MKT VAL,1279661
SCHOOL TAXABLE,20820
COUNTY TAXABLE,18800
VILLAGE TAXABLE,18800
SCHOOL TAXABLE,16970
FULL MKT VAL,1062146
COUNTY TAXABLE,36300
VILLAGE TAXABLE,36300
SCHOOL TAXABLE,34470
FULL MKT VAL,2050847
COUNTY TAXABLE,24000
VILLAGE TAXABLE,24000
SCHOOL TAXABLE,22170
FULL MKT VAL,1355932
COUNTY TAXABLE,15500
VILLAGE TAXABLE,15500
SCHOOL TAXABLE,13670
FULL MKT VAL,875706
COUNTY TAXABLE,19600
VILLAGE TAXABLE,19600
SCHOOL TAXABLE,17770
FULL MKT VAL,1107344
COUNTY TAXABLE,22000
VILLAGE TAXABLE,22000
SCHOOL TAXABLE,20170
FULL MKT VAL,1242937
COUNTY TAXABLE,38225
VILLAGE TAXABLE,38225
SCHOOL TAXABLE,38225
FULL MKT VAL,2159604
COUNTY TAXABLE,20500
VILLAGE TAXABLE,20500
SCHOOL TAXABLE,18670
FULL MKT VAL,1158192
COUNTY TAXABLE,15800
VILLAGE TAXABLE,15800
SCHOOL TAXABLE,15800
FULL MKT VAL,892655
COUNTY TAXABLE,18400
VILLAGE TAXABLE,18400
SCHOOL TAXABLE,16570
FULL MKT VAL,1039548
COUNTY TAXABLE,56325
VILLAGE TAXABLE,56325
SCHOOL TAXABLE,56325
FULL MKT VAL,3182203
COUNTY TAXABLE,27500
VILLAGE TAXABLE,27500
SCHOOL TAXABLE,25670
FULL MKT VAL,1553672
COUNTY TAXABLE,20000
VILLAGE TAXABLE,20000
SCHOOL TAXABLE,20000
FULL MKT VAL,1129943
COUNTY TAXABLE,23575
VILLAGE TAXABLE,23575
SCHOOL TAXABLE,21745
FULL MKT VAL,1331920
COUNTY TAXABLE,30200
VILLAGE TAXABLE,30200
SCHOOL TAXABLE,30200
FULL MKT VAL,1706214
COUNTY TAXABLE,22000
VILLAGE TAXABLE,22000
SCHOOL TAXABLE,20170
FULL MKT VAL,1242937
COUNTY TAXABLE,11475
VILLAGE TAXABLE,11475
SCHOOL TAXABLE,10735
FULL MKT VAL,820621
COUNTY TAXABLE,2400
VILLAGE TAXABLE,2400
SCHOOL TAXABLE,2400
FULL MKT VAL,135593
COUNTY TAXABLE,22875
VILLAGE TAXABLE,22875
SCHOOL TAXABLE,22875
FULL MKT VAL,1292372
COUNTY TAXABLE,20885
VILLAGE TAXABLE,20885
SCHOOL TAXABLE,20885
FULL MKT VAL,1179943
COUNTY TAXABLE,30000
VILLAGE TAXABLE,30000
SCHOOL TAXABLE,30000
FULL MKT VAL,1694915
COUNTY TAXABLE,29950
VILLAGE TAXABLE,29950
SCHOOL TAXABLE,29950
FULL MKT VAL,1692090
COUNTY TAXABLE,39000
VILLAGE TAXABLE,39000
SCHOOL TAXABLE,39000
FULL MKT VAL,2203389
COUNTY TAXABLE,43000
VILLAGE TAXABLE,43000
SCHOOL TAXABLE,43000
FULL MKT VAL,2429378
COUNTY TAXABLE,41375
VILLAGE TAXABLE,41375
SCHOOL TAXABLE,39545
FULL MKT VAL,2337570
COUNTY TAXABLE,28500
VILLAGE TAXABLE,28500
SCHOOL TAXABLE,28500
FULL MKT VAL,1610169
COUNTY TAXABLE,22317
VILLAGE TAXABLE,22317
SCHOOL TAXABLE,22170
FULL MKT VAL,1355932
COUNTY TAXABLE,30100
VILLAGE TAXABLE,30100
SCHOOL TAXABLE,28270
FULL MKT VAL,1700564
COUNTY TAXABLE,17250
VILLAGE TAXABLE,17250
SCHOOL TAXABLE,15420
FULL MKT VAL,974576
COUNTY TAXABLE,15150
VILLAGE TAXABLE,15150
SCHOOL TAXABLE,13320
FULL MKT VAL,855932
COUNTY TAXABLE,20000
VILLAGE TAXABLE,20000
SCHOOL TAXABLE,20000
FULL MKT VAL,1129943
COUNTY TAXABLE,24550
VILLAGE TAXABLE,24550
SCHOOL TAXABLE,24550
FULL MKT VAL,1387005
COUNTY TAXABLE,21500
VILLAGE TAXABLE,21500
SCHOOL TAXABLE,19670
FULL MKT VAL,1214689
COUNTY TAXABLE,17300
VILLAGE TAXABLE,17300
SCHOOL TAXABLE,15470
FULL MKT VAL,977401
COUNTY TAXABLE,17700
VILLAGE TAXABLE,17700
SCHOOL TAXABLE,15870
FULL MKT VAL,999999
COUNTY TAXABLE,23300
VILLAGE TAXABLE,23300
SCHOOL TAXABLE,21470
FULL MKT VAL,1316384
COUNTY TAXABLE,29575
VILLAGE TAXABLE,29575
SCHOOL TAXABLE,27745
FULL MKT VAL,1670903
COUNTY TAXABLE,24650
VILLAGE TAXABLE,24650
FULL MKT VAL,1420903
SCHOOL TAXABLE,23320
COUNTY TAXABLE,19350
VILLAGE TAXABLE,19350
SCHOOL TAXABLE,17520
FULL MKT VAL,1093220
COUNTY TAXABLE,20550
VILLAGE TAXABLE,20550
SCHOOL TAXABLE,18720
FULL MKT VAL,1161016
COUNTY TAXABLE,23075
VILLAGE TAXABLE,23075
SCHOOL TAXABLE,23075
FULL MKT VAL,1303672
COUNTY TAXABLE,347800
VILLAGE TAXABLE,347800
SCHOOL TAXABLE,347800
FULL MKT VAL,19649717
COUNTY TAXABLE,59850
VILLAGE TAXABLE,59850
SCHOOL TAXABLE,59850
FULL MKT VAL,3381355
COUNTY TAXABLE,16300
VILLAGE TAXABLE,16300
SCHOOL TAXABLE,14470
FULL MKT VAL,920903
COUNTY TAXABLE,32550
VILLAGE TAXABLE,32550
SCHOOL TAXABLE,32550
FULL MKT VAL,1838983
COUNTY TAXABLE,27697
VILLAGE TAXABLE,27697
SCHOOL TAXABLE,25867
FULL MKT VAL,1564802
COUNTY TAXABLE,16600
VILLAGE TAXABLE,16600
SCHOOL TAXABLE,14770
FULL MKT VAL,937853
COUNTY TAXABLE,238355
VILLAGE TAXABLE,238355
SCHOOL TAXABLE,238355
FULL MKT VAL,13466384
COUNTY TAXABLE,72500
VILLAGE TAXABLE,72500
SCHOOL TAXABLE,72500
FULL MKT VAL,4096045
COUNTY TAXABLE,59400
VILLAGE TAXABLE,59400
SCHOOL TAXABLE,59400
FULL MKT VAL,3355932
COUNTY TAXABLE,38400
VILLAGE TAXABLE,38400
SCHOOL TAXABLE,38400
FULL MKT VAL,2169491
COUNTY TAXABLE,21300
VILLAGE TAXABLE,21300
SCHOOL TAXABLE,21300
FULL MKT VAL,1203389
COUNTY TAXABLE,20300
VILLAGE TAXABLE,20300
SCHOOL TAXABLE,20300
FULL MKT VAL,1146892
COUNTY TAXABLE,0
VILLAGE TAXABLE,0
SCHOOL TAXABLE,0
FULL MKT VAL,0
COUNTY TAXABLE,56851
VILLAGE TAXABLE,56851
SCHOOL TAXABLE,56851
FULL MKT VAL,3211920
COUNTY TAXABLE,20700
VILLAGE TAXABLE,20700
SCHOOL TAXABLE,20700
FULL MKT VAL,1169491
COUNTY TAXABLE,28075
VILLAGE TAXABLE,28075
SCHOOL TAXABLE,28075
FULL MKT VAL,1586158
COUNTY TAXABLE,52261
VILLAGE TAXABLE,52261
SCHOOL TAXABLE,52261
FULL MKT VAL,2952598
COUNTY TAXABLE,7278
VILLAGE TAXABLE,7278
SCHOOL TAXABLE,7131
FULL MKT VAL,506271
COUNTY TAXABLE,8852
VILLAGE TAXABLE,8852
SCHOOL TAXABLE,7022
FULL MKT VAL,500112
COUNTY TAXABLE,7973
VILLAGE TAXABLE,7973
SCHOOL TAXABLE,7973
FULL MKT VAL,450451
COUNTY TAXABLE,7973
VILLAGE TAXABLE,7973
SCHOOL TAXABLE,7973
FULL MKT VAL,450451
COUNTY TAXABLE,9874
VILLAGE TAXABLE,9874
SCHOOL TAXABLE,8044
FULL MKT VAL,557853
COUNTY TAXABLE,8404
VILLAGE TAXABLE,8404
SCHOOL TAXABLE,7584
FULL MKT VAL,531864
COUNTY TAXABLE,7863
VILLAGE TAXABLE,7863
SCHOOL TAXABLE,6033
FULL MKT VAL,444237
COUNTY TAXABLE,6632
VILLAGE TAXABLE,6632
SCHOOL TAXABLE,6632
FULL MKT VAL,374689
COUNTY TAXABLE,5497
VILLAGE TAXABLE,5497
SCHOOL TAXABLE,3667
FULL MKT VAL,310564
COUNTY TAXABLE,5497
VILLAGE TAXABLE,5497
SCHOOL TAXABLE,5497
FULL MKT VAL,310564
COUNTY TAXABLE,4122
VILLAGE TAXABLE,4122
SCHOOL TAXABLE,4122
FULL MKT VAL,232881
COUNTY TAXABLE,4122
VILLAGE TAXABLE,4122
SCHOOL TAXABLE,4122
FULL MKT VAL,232881
COUNTY TAXABLE,8447
VILLAGE TAXABLE,8447
SCHOOL TAXABLE,8447
FULL MKT VAL,477231
COUNTY TAXABLE,8261
VILLAGE TAXABLE,8261
SCHOOL TAXABLE,8261
FULL MKT VAL,466723
COUNTY TAXABLE,8278
VILLAGE TAXABLE,8278
SCHOOL TAXABLE,6448
FULL MKT VAL,467683
COUNTY TAXABLE,7879
VILLAGE TAXABLE,7879
SCHOOL TAXABLE,6049
FULL MKT VAL,445141
COUNTY TAXABLE,7069
VILLAGE TAXABLE,7069
SCHOOL TAXABLE,7069
FULL MKT VAL,399378
COUNTY TAXABLE,6728
VILLAGE TAXABLE,6728
SCHOOL TAXABLE,6728
FULL MKT VAL,380112
COUNTY TAXABLE,8278
VILLAGE TAXABLE,8278
SCHOOL TAXABLE,8278
FULL MKT VAL,467683
COUNTY TAXABLE,7879
VILLAGE TAXABLE,7879
SCHOOL TAXABLE,7879
FULL MKT VAL,445141
COUNTY TAXABLE,7464
VILLAGE TAXABLE,7464
SCHOOL TAXABLE,5634
FULL MKT VAL,421694
COUNTY TAXABLE,7264
VILLAGE TAXABLE,7264
SCHOOL TAXABLE,7264
FULL MKT VAL,410395
COUNTY TAXABLE,6108
VILLAGE TAXABLE,6108
SCHOOL TAXABLE,4278
FULL MKT VAL,345084
COUNTY TAXABLE,6108
VILLAGE TAXABLE,6108
SCHOOL TAXABLE,4278
FULL MKT VAL,345084
COUNTY TAXABLE,4811
VILLAGE TAXABLE,4811
SCHOOL TAXABLE,2981
FULL MKT VAL,271807
COUNTY TAXABLE,4579
VILLAGE TAXABLE,4579
SCHOOL TAXABLE,2749
FULL MKT VAL,258700
COUNTY TAXABLE,7771
VILLAGE TAXABLE,7771
SCHOOL TAXABLE,7771
FULL MKT VAL,439039
COUNTY TAXABLE,7464
VILLAGE TAXABLE,7464
SCHOOL TAXABLE,7464
FULL MKT VAL,421694
COUNTY TAXABLE,8638
VILLAGE TAXABLE,8638
SCHOOL TAXABLE,8638
FULL MKT VAL,488022
COUNTY TAXABLE,8222
VILLAGE TAXABLE,8222
SCHOOL TAXABLE,8222
FULL MKT VAL,464519
COUNTY TAXABLE,7422
VILLAGE TAXABLE,7422
SCHOOL TAXABLE,7422
FULL MKT VAL,419322
COUNTY TAXABLE,7065
VILLAGE TAXABLE,7065
SCHOOL TAXABLE,5235
FULL MKT VAL,399152
COUNTY TAXABLE,8638
VILLAGE TAXABLE,8638
SCHOOL TAXABLE,6808
FULL MKT VAL,488022
COUNTY TAXABLE,8222
VILLAGE TAXABLE,8222
SCHOOL TAXABLE,8222
FULL MKT VAL,464519
COUNTY TAXABLE,8182
VILLAGE TAXABLE,8182
SCHOOL TAXABLE,6352
FULL MKT VAL,462259
COUNTY TAXABLE,7579
VILLAGE TAXABLE,7579
SCHOOL TAXABLE,7579
FULL MKT VAL,428192
COUNTY TAXABLE,6414
VILLAGE TAXABLE,6414
SCHOOL TAXABLE,4584
FULL MKT VAL,362372
COUNTY TAXABLE,6414
VILLAGE TAXABLE,6414
SCHOOL TAXABLE,4584
FULL MKT VAL,362372
COUNTY TAXABLE,5052
VILLAGE TAXABLE,5052
SCHOOL TAXABLE,5052
FULL MKT VAL,285423
COUNTY TAXABLE,4808
VILLAGE TAXABLE,4808
SCHOOL TAXABLE,4808
FULL MKT VAL,271638
COUNTY TAXABLE,8109
VILLAGE TAXABLE,8109
SCHOOL TAXABLE,8109
FULL MKT VAL,458135
COUNTY TAXABLE,7789
VILLAGE TAXABLE,7789
SCHOOL TAXABLE,7789
FULL MKT VAL,440056
COUNTY TAXABLE,120400
VILLAGE TAXABLE,120400
SCHOOL TAXABLE,120400
FULL MKT VAL,6802259
COUNTY TAXABLE,94350
VILLAGE TAXABLE,94350
SCHOOL TAXABLE,94350
FULL MKT VAL,5330508
COUNTY TAXABLE,225330
VILLAGE TAXABLE,225330
SCHOOL TAXABLE,225330
FULL MKT VAL,12730508
COUNTY TAXABLE,81000
VILLAGE TAXABLE,81000
SCHOOL TAXABLE,81000
FULL MKT VAL,4576271
COUNTY TAXABLE,365676
FULL MKT VAL,20711864
VILLAGE TAXABLE,365676
SCHOOL TAXABLE,225083
COUNTY TAXABLE,210000
VILLAGE TAXABLE,210000
SCHOOL TAXABLE,210000
FULL MKT VAL,11864406
COUNTY TAXABLE,30400
VILLAGE TAXABLE,30400
SCHOOL TAXABLE,30400
FULL MKT VAL,1717514
COUNTY TAXABLE,43600
VILLAGE TAXABLE,43600
SCHOOL TAXABLE,43600
FULL MKT VAL,2463276
COUNTY TAXABLE,27900
VILLAGE TAXABLE,27900
SCHOOL TAXABLE,26070
FULL MKT VAL,1576271
COUNTY TAXABLE,26725
VILLAGE TAXABLE,26725
SCHOOL TAXABLE,26725
FULL MKT VAL,1509887
COUNTY TAXABLE,18000
VILLAGE TAXABLE,18000
SCHOOL TAXABLE,18000
FULL MKT VAL,1016949
COUNTY TAXABLE,26000
VILLAGE TAXABLE,26000
SCHOOL TAXABLE,26000
FULL MKT VAL,1468926
COUNTY TAXABLE,24200
VILLAGE TAXABLE,24200
SCHOOL TAXABLE,22370
FULL MKT VAL,1367231
COUNTY TAXABLE,22025
VILLAGE TAXABLE,22025
SCHOOL TAXABLE,22025
FULL MKT VAL,1244350
COUNTY TAXABLE,38700
VILLAGE TAXABLE,38700
SCHOOL TAXABLE,36870
FULL MKT VAL,2186440
COUNTY TAXABLE,24900
VILLAGE TAXABLE,24900
SCHOOL TAXABLE,24900
FULL MKT VAL,1406779
COUNTY TAXABLE,13000
VILLAGE TAXABLE,13000
SCHOOL TAXABLE,11170
FULL MKT VAL,734463
COUNTY TAXABLE,10300
VILLAGE TAXABLE,10300
SCHOOL TAXABLE,10300
FULL MKT VAL,581920
COUNTY TAXABLE,34450
VILLAGE TAXABLE,34450
SCHOOL TAXABLE,34450
FULL MKT VAL,1946327
COUNTY TAXABLE,39000
VILLAGE TAXABLE,39000
SCHOOL TAXABLE,39000
FULL MKT VAL,2203389
COUNTY TAXABLE,38775
VILLAGE TAXABLE,38775
SCHOOL TAXABLE,36945
FULL MKT VAL,2190677
COUNTY TAXABLE,29575
VILLAGE TAXABLE,29575
SCHOOL TAXABLE,29575
